Date,Name,Year,Letterboxd URI,Rating
2024-01-29,Parasite,2019,https://boxd.it/hTha,5
2024-01-29,Interstellar,2014,https://boxd.it/4VZ8,5
2024-01-29,Barbie,2023,https://boxd.it/bCLK,3
2024-01-29,Fight Club,1999,https://boxd.it/2a9q,4
2026-01-29,La La Land,2016,https://boxd.it/a5fa,2
2026-01-29,Whiplash,2014,https://boxd.it/7bQA,4
2026-01-29,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2026-01-29,The Truman Show,1998,https://boxd.it/18U8,4
2026-01-29,Pulp Fiction,1994,https://boxd.it/29Pq,3.5
2026-01-29,Dead Poets Society,1989,https://boxd.it/2aSg,2
2026-01-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2026-01-29,Get Out,2017,https://boxd.it/eOCm,3
2026-01-29,Dune,2021,https://boxd.it/fA7G,4
2026-01-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2026-01-29,Joker,2019,https://boxd.it/h4cS,4.5
2026-01-29,The Dark Knight,2008,https://boxd.it/2b0k,5
2026-01-29,Knives Out,2019,https://boxd.it/jWEA,4.5
2026-01-29,Inception,2010,https://boxd.it/1skk,3
2026-01-29,American Psycho,2000,https://boxd.it/28Vs,3
2026-01-29,Spirited Away,2001,https://boxd.it/2b4m,4
2026-01-29,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2026-01-29,Superman,2025,https://boxd.it/E9IU,3.5
2026-01-29,Dune: Part Two,2024,https://boxd.it/pUfA,3.5
2026-01-29,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2026-01-29,Se7en,1995,https://boxd.it/29zs,2
2026-01-29,Forrest Gump,1994,https://boxd.it/728,3
2026-01-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3.5
2026-01-29,Challengers,2024,https://boxd.it/zld0,2
2026-01-29,Saltburn,2023,https://boxd.it/z4eg,1
2026-01-29,Inglourious Basterds,2009,https://boxd.it/1JzG,3
2026-01-29,The Shining,1980,https://boxd.it/29Nu,2.5
2026-01-29,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3
2026-01-29,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2026-01-29,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2026-01-29,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2026-01-29,Little Women,2019,https://boxd.it/aSVk,3.5
2026-01-29,Shutter Island,2010,https://boxd.it/1U82,4.5
2026-01-29,The Menu,2022,https://boxd.it/lScm,2.5
2026-01-29,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,2.5
2026-01-29,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,3
2026-01-29,Ratatouille,2007,https://boxd.it/27ww,4
2026-01-29,Django Unchained,2012,https://boxd.it/2cCk,4.5
2026-01-29,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2026-01-29,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2026-01-29,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2026-01-29,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2026-01-29,One Battle After Another,2025,https://boxd.it/DUHM,0.5
2026-01-29,Baby Driver,2017,https://boxd.it/bhF2,3.5
2026-01-29,The Matrix,1999,https://boxd.it/2a1m,3.5
2026-01-29,Hereditary,2018,https://boxd.it/hNVe,3
2026-01-29,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2026-01-29,Titanic,1997,https://boxd.it/2a2k,3
2026-01-29,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2026-01-29,The Hunger Games,2012,https://boxd.it/2uds,3.5
2026-01-29,Inside Out 2,2024,https://boxd.it/CFrC,4.5
2026-01-29,Little Miss Sunshine,2006,https://boxd.it/29EW,1
2026-01-29,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2026-01-29,Inside Out,2015,https://boxd.it/4KHC,4
2026-01-29,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2026-01-29,Coco,2017,https://boxd.it/bYJQ,4.5
2026-01-29,The Notebook,2004,https://boxd.it/1UNE,3
2026-01-29,Back to the Future,1985,https://boxd.it/2b8e,2
2026-01-29,Howl's Moving Castle,2004,https://boxd.it/23De,3
2026-01-29,Pearl,2022,https://boxd.it/zPbe,2.5
2026-01-29,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2026-01-29,Avatar,2009,https://boxd.it/1Efm,4
2026-01-29,Home Alone,1990,https://boxd.it/29Fg,2.5
2026-01-29,Up,2009,https://boxd.it/1OEc,3.5
2026-01-29,Blade Runner 2049,2017,https://boxd.it/b8wK,3
2026-01-29,Wake Up Dead Man,2025,https://boxd.it/uAKS,3.5
2026-01-29,Star Wars,1977,https://boxd.it/72s,3.5
2026-01-29,It,2017,https://boxd.it/bC8e,3
2026-01-29,Nope,2022,https://boxd.it/sDCe,0.5
2026-01-29,WALL·E,2008,https://boxd.it/1VEo,3
2026-01-29,Shrek,2001,https://boxd.it/29zi,4.5
2026-01-29,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2025-01-29,Deadpool,2016,https://boxd.it/9fOC,3
2025-01-29,Us,2019,https://boxd.it/gnV6,2.5
2025-01-29,Memento,2000,https://boxd.it/2bcK,3
2025-01-29,Soul,2020,https://boxd.it/ioLA,3
2025-01-29,The Holdovers,2023,https://boxd.it/vHza,3.5
2025-01-29,Marty Supreme,2025,https://boxd.it/Off0,0.5
2025-01-29,Drive,2011,https://boxd.it/IG,3.5
2025-01-29,Bullet Train,2022,https://boxd.it/qW26,2
2025-01-29,Requiem for a Dream,2000,https://boxd.it/29VI,3.5
2025-01-29,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3
2025-01-29,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2025-01-29,Don't Look Up,2021,https://boxd.it/o0Hc,2
2025-01-29,The Avengers,2012,https://boxd.it/1xFW,3
2025-01-29,Thunderbolts*,2025,https://boxd.it/BfbQ,2.5
2025-01-29,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2025-01-29,Superbad,2007,https://boxd.it/20hO,3
2025-01-29,Twilight,2008,https://boxd.it/1Zui,3.5
2025-01-29,Spider-Man,2002,https://boxd.it/2a8i,3.5
2025-01-29,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2025-01-29,The Lighthouse,2019,https://boxd.it/icFU,2.5
2025-01-29,My Neighbor Totoro,1988,https://boxd.it/20eA,3
2025-01-29,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3
2025-01-29,Brokeback Mountain,2005,https://boxd.it/2b2q,1.5
2025-01-29,Before Sunrise,1995,https://boxd.it/2bcU,4
